Supermercado,Fecha_extraccion,Categoria,Articulo,Precio
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA EL REY MOLIDA 20/600G,75.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA ENTERA CORAZON SANO 20X650GR,105.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA INTEGRAL 12OZ PRODESA,57.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA INTEGRAL 8 OZ EBEN-EZER,57.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA INTEGRAL ENTERA PROEDEN,57.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA MOLIDA 16 OZ,90.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA NUTREMAS 20/650 GR,85.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVIVA GALLETAS FINAS HIERBAS 9UND,105.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVIVA MULTICEREAL LGA40463,105.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVIVA SODA NORMAL 24/9/4,95.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVIVA SODA SALTINA 24/9/4,80.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AXION LAVAPLATOS LIMON,300.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AXION LIMON LIQUIDO 750ML 12/1,165.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AZUCAR PULVERIZADA LEVAPAN 24/1,170.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BABINA GOLD # 1 400 GR,795.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BABINA GOLD 2 900GR,1700.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BABINA GOLD LIQUIDA 70 ML X8 BTL,85.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BABINA GOLD MAMA 400 GR,920.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BABINA GOLD SIN LACTOSA 900G,1650.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BABINA HA 900 GR,2050.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BABINA PLUS 1000 GR,1250.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BABINA PLUS 400 GR,605.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BABINA SIN LACTOSA 400 GR 0-12,1000.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BAKING SODA HAMMER / 454 G,105.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BAKING SODA SHAKER ARM Y HAMMER 12 OZ. (,115.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM MOSTAZA 14 OZ,100.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM ADEREZO SANDWICH SPREAD 16 OZ,145.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM ADEREZO SANDWICH SPREAD 8 OZ,85.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM AJO EN PASTA 15.5 OZ,190.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM AJO EN PASTA 4 OZ,80.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM AJO EN PASTA 8 OZ,120.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM CATCHUP 12 0Z.,85.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM CATCHUP 14 OZ,95.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM GELATINA OLI FRAMBUESA 3 OZ,32.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM GELATINA OLI FRESA 3 OZ,34.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM GELATINA OLI TUTIFRUTI 3 OZ,32.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM MAYONESA LIGHT 12/16 OZ,180.0
IBERIA,03-09-2025 16:49:50,Abarrotes,BALDOM MAYONESA LIGHT 8 OZ.,90.0
